"","value","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","Direction"
"1",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"2",9996.663637,-3.336363086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"3",9990.612149,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"4",9989.028954,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"5",9985.078494,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"6",9975.718137,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"7",9964.085048,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"8",9981.509694,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"9",9984.755824,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"10",9994.715811,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,0,0,"Up"
"11",10016.05712,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,0,"Up"
"12",10048.33897,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,0,"Up"
"13",10042.23897,-6.1,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,0,"Down"
"14",10061.45991,19.22093846,-6.1,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,0,"Up"
"15",10053.64356,-7.816351141,19.22093846,-6.1,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,0,"Down"
"16",10059.60743,5.963870983,-7.816351141,19.22093846,-6.1,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,0,"Up"
"17",10048.97457,-10.63285707,5.963870983,-7.816351141,19.22093846,-6.1,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,0,"Down"
"18",10041.97457,-7,-10.63285707,5.963870983,-7.816351141,19.22093846,-6.1,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,0,"Down"
"19",10063.06191,21.08734073,-7,-10.63285707,5.963870983,-7.816351141,19.22093846,-6.1,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,0,"Up"
"20",10057.76843,-5.293481906,21.08734073,-7,-10.63285707,5.963870983,-7.816351141,19.22093846,-6.1,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,0,"Down"
"21",10051.63428,-6.134146754,-5.293481906,21.08734073,-7,-10.63285707,5.963870983,-7.816351141,19.22093846,-6.1,32.28184868,21.34131095,9.959986928,3.246130486,17.42464522,-11.63308849,-9.360357562,-3.950459411,-1.583195153,-6.051487855,-3.336363086,"Down"
