"","value","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","Direction"
"1",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"2",9990,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"3",9967,-23,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"4",9958,-9,-23,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"5",9940,-18,-9,-23,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"6",9925,-15,-18,-9,-23,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"7",10210,285,-15,-18,-9,-23,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"8",10186,-24,285,-15,-18,-9,-23,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"9",10170,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"10",10163,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,0,0,0,0,0,0,0,0,"Down"
"11",10148,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,0,0,0,0,0,0,0,"Down"
"12",10125,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,0,0,0,0,0,0,"Down"
"13",10109,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,0,0,0,0,0,"Down"
"14",10106,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,0,0,0,0,"Down"
"15",10095,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,0,0,0,"Down"
"16",10076,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,0,0,"Down"
"17",10063,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,0,"Down"
"18",10050,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,0,"Down"
"19",10029,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,0,"Down"
"20",10020,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,0,"Down"
"21",10248.44,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,-10,"Up"
"22",10233.44,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,-23,"Down"
"23",10204.44,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,-9,"Down"
"24",10590.44,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,-18,"Up"
"25",10575.44,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,-15,"Down"
"26",10571.44,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,285,"Down"
"27",10559.44,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,-24,"Down"
"28",10548.44,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,-16,"Down"
"29",10536.44,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,-7,"Down"
"30",10513.44,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,-15,"Down"
"31",10503.44,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,-23,"Down"
"32",10479.44,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,-16,"Down"
"33",10468.44,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,-3,"Down"
"34",10455.44,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,-11,"Down"
"35",10437.44,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,-19,"Down"
"36",10431.44,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,-13,"Down"
"37",10413.44,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,-13,"Down"
"38",10412.44,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,-21,"Down"
"39",10890.44,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,-9,"Up"
"40",10874.44,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,228.44,"Down"
"41",10858.44,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,-15,"Down"
"42",10849.44,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,-29,"Down"
"43",10837.44,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,386,"Down"
"44",10820.44,-17,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,-15,"Down"
"45",10793.44,-27,-17,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,-4,"Down"
"46",10779.44,-14,-27,-17,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,-12,"Down"
"47",10758.44,-21,-14,-27,-17,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,-11,"Down"
"48",10743.44,-15,-21,-14,-27,-17,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,-12,"Down"
"49",10733.44,-10,-15,-21,-14,-27,-17,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,-23,"Down"
"50",10728.44,-5,-10,-15,-21,-14,-27,-17,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,-10,"Down"
"51",10717.44,-11,-5,-10,-15,-21,-14,-27,-17,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,-24,"Down"
"52",10707.44,-10,-11,-5,-10,-15,-21,-14,-27,-17,-12,-9,-16,-16,478,-1,-18,-6,-18,-13,-11,"Down"
