"","value","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","Direction"
"1",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"2",9983,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"3",9956,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"4",9933,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"5",9903,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"6",9887,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"7",9861,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"8",9826,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"9",9802,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"10",9785,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,"Down"
"11",9752,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,"Down"
"12",9725,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,"Down"
"13",9703,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,"Down"
"14",9689,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,"Down"
"15",9675,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,"Down"
"16",9656,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,"Down"
"17",9632,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,"Down"
"18",9614,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,"Down"
"19",9725,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,"Up"
"20",9706,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,"Down"
"21",9665,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,"Down"
"22",9645,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,"Down"
"23",9602,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,"Down"
"24",9574,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,"Down"
"25",9557,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,"Down"
"26",9538,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,"Down"
"27",9515,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,"Down"
"28",9490,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,"Down"
"29",9471,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,"Down"
"30",9445,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,"Down"
"31",9429,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,"Down"
"32",9397,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,"Down"
"33",9377,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,"Down"
"34",9335,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,"Down"
"35",9555,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,"Up"
"36",9541,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,"Down"
"37",9686.984696,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,"Up"
"38",9676.984696,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,"Down"
"39",9649.984696,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,"Down"
"40",9633.984696,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,"Down"
"41",9611.984696,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,"Down"
"42",9819.220402,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,"Up"
"43",9798.220402,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,"Down"
"44",9778.220402,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,"Down"
"45",9744.220402,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,"Down"
"46",9708.220402,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,"Down"
"47",10019.03206,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,"Up"
"48",9984.032064,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,"Down"
"49",9966.032064,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,"Down"
"50",9953.032064,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,"Down"
"51",9926.032064,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,"Down"
"52",9896.032064,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,"Down"
"53",9874.032064,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,"Down"
"54",9853.032064,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,"Down"
"55",9827.032064,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,"Down"
"56",9792.032064,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,"Down"
"57",9770.032064,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,"Down"
"58",9755.032064,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,"Down"
"59",9733.032064,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,"Down"
"60",9886.032064,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,"Up"
"61",9856.032064,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,"Down"
"62",9975.032064,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,"Up"
"63",9947.032064,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,"Down"
"64",9934.032064,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,"Down"
"65",9909.032064,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,"Down"
"66",9869.032064,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,"Down"
"67",9848.032064,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,"Down"
"68",9823.032064,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,"Down"
