"","value","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","Direction"
"1",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"2",9997,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"3",9995,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"4",9994,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"5",9994,0,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"6",9987,-7,0,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"7",9978,-9,-7,0,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"8",9968,-10,-9,-7,0,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"9",9967,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"10",9962,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,"Down"
"11",9957,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,"Down"
"12",9953,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,0,0,0,0,0,0,"Down"
"13",9946,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,0,0,0,0,0,"Down"
"14",9946,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,0,0,0,0,"Up"
"15",9946,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,0,0,0,"Up"
"16",9943,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,0,0,"Down"
"17",9939,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,0,"Down"
"18",9937,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,0,"Down"
"19",9931,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,0,"Down"
"20",9928,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,0,"Down"
"21",9920,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,-3,"Down"
"22",9912,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,-2,"Down"
"23",9896,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,-1,"Down"
"24",9888,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,0,"Down"
"25",9875,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,-7,"Down"
"26",9873,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,-9,"Down"
"27",9869,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,-10,"Down"
"28",9864,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,-1,"Down"
"29",9861,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,-5,"Down"
"30",9854,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,-5,"Down"
"31",9850,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,-4,"Down"
"32",9835,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,-7,"Down"
"33",9833,-2,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,0,"Down"
"34",9832,-1,-2,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,0,"Down"
"35",9829,-3,-1,-2,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,-3,"Down"
"36",9828,-1,-3,-1,-2,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,-4,"Down"
"37",9817,-11,-1,-3,-1,-2,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,-2,"Down"
"38",9817,0,-11,-1,-3,-1,-2,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,-6,"Up"
"39",9811,-6,0,-11,-1,-3,-1,-2,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,-3,"Down"
"40",9799,-12,-6,0,-11,-1,-3,-1,-2,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,-8,"Down"
"41",9797,-2,-12,-6,0,-11,-1,-3,-1,-2,-15,-4,-7,-3,-5,-4,-2,-13,-8,-16,-8,"Down"
